Store.N,Profit,Sales,Profit.Margin,SQRT.Manager.Tenure,SQRT.Crew.Tenure,Competitors,Footfall,Residential,Population,24h,Visibility,Crew.Tenure,Manager.Tenure,LN.Crew.Tenure
10,278625,1080979,0.257752463,5.610614048,4.816126037,2.270771,3,1,16381,0,4,23.19507,31.47899,4.816126037
23,277414,1351972,0.205192119,3.519640607,1.848469096,3.594539,4,1,13797,1,3,3.416838,12.38787,1.848469096
28,273036,1141465,0.239197873,4.887590408,4.121362639,3.193422,4,1,14673,0,3,16.98563,23.88854,4.121362639
20,269235,1320950,0.203819221,8.066036821,2.438567612,4.148495,2,1,15377,1,3,5.946612,65.06095,2.438567612
24,267354,1071307,0.249558717,6.694756904,1.848469096,3.28059,3,1,9069,0,2,3.416838,44.81977,1.848469096
17,265584,1095695,0.242388621,5.631074498,1.909664107,2.561704,4,1,14477,1,3,3.646817,31.709,1.909664107
1,265014,1060294,0.249943883,0,4.980454799,2.797888,3,1,7535,1,3,24.80493,0,4.980454799
42,264072,1273855,0.207301459,1.580281304,9.27871004,3.231049,2,1,2106,1,3,86.09446,2.497289,9.27871004
29,263956,924782,0.285425106,4.417950882,4.85180791,5.392077,2,1,11350,1,3,23.54004,19.51829,4.85180791
14,261571,1171491,0.223280418,9.347312983,1.719557792,4.233057,2,1,6898,1,4,2.956879,87.37226,1.719557792
19,261495,1127332,0.231959174,1.848605691,4.121362639,2.753616,3,1,4669,1,2,16.98563,3.417343,4.121362639
70,254203,1207204,0.210571701,3.862385273,1.968958354,3.122484,4,1,19809,0,3,3.876797,14.91802,1.968958354
50,251013,935257,0.26838933,3.584396741,4.008205334,1.751638,4,1,14653,0,3,16.06571,12.8479,4.008205334
63,239036,1045264,0.228684811,2.871868033,2.620406457,4.13658,3,1,7581,1,3,6.86653,8.247626,2.620406457
51,237344,1027035,0.231096311,1.848605691,2.663927364,2.447474,4,1,3126,1,2,7.096509,3.417343,2.663927364
68,236339,1018195,0.232115656,4.177099472,1.505636078,3.50481,2,1,9018,1,4,2.26694,17.44816,1.505636078
27,230194,985862,0.233495154,7.078847364,4.176791831,3.719806,2,1,8153,1,3,17.44559,50.11008,4.176791831
58,227601,989760,0.229955747,2.137149971,2.026518196,3.993874,2,1,8477,1,4,4.106776,4.56741,2.026518196
40,222913,1042664,0.213791787,11.08125895,4.093366585,11.12788,4,1,2521,1,3,16.75565,122.7943,4.093366585
3,222735,1099921,0.202500907,4.887590408,2.242028992,4.494666,3,1,9695,1,3,5.026694,23.88854,2.242028992
64,221157,969509,0.228112374,0,0.941840592,2.378613,3,1,17110,1,4,0.8870637,0,0.941840592
39,221130,979361,0.225790081,5.890600988,2.342360561,5.046338,4,1,8896,1,2,5.486653,34.69918,2.342360561
36,219292,1016950,0.215636954,6.449773639,4.571135526,3.929021,2,1,3218,1,3,20.89528,41.59958,4.571135526
26,211912,898548,0.235838264,0.810667194,4.520544215,4.178195,2,1,9999,1,3,20.43532,0.6571813,4.520544215
31,211885,993597,0.213250443,0,3.282709247,3.100689,2,1,2578,1,2,10.77618,0,3.282709247
4,210122,1053860,0.19938322,0,2.317684836,4.253946,2,1,2797,1,4,5.371663,0,2.317684836
15,203951,1005627,0.202809789,0,2.911423363,3.84422,4,1,8684,1,3,8.476386,0,2.911423363
38,203184,991524,0.20492091,3.950703735,1.255787402,4.225993,2,1,6557,1,3,1.577002,15.60806,1.255787402
62,202641,942915,0.214909085,3.486812298,2.620406457,4.20145,4,1,9820,0,3,6.86653,12.15786,2.620406457
71,198529,977566,0.203085009,6.62568638,6.194652533,3.856324,1,1,3265,1,2,38.37372,43.89972,6.194652533
72,196772,848140,0.23200415,11.24608821,5.239245175,3.680586,1,1,3151,1,2,27.44969,126.4745,5.239245175
16,196277,883864,0.22206697,4.864003495,2.163729419,3.344703,3,1,6872,0,3,4.681725,23.65853,2.163729419
49,195276,983296,0.198593303,7.443143825,3.832209545,3.713871,1,1,1863,1,4,14.68583,55.40039,3.832209545
56,189235,916197,0.206544007,2.190302262,1.651332492,4.597269,3,1,13740,0,2,2.726899,4.797424,1.651332492
37,187765,1202917,0.156091401,4.816482119,1.1606132,4.491863,3,1,8870,1,3,1.347023,23.1985,1.1606132
61,177046,716589,0.247067705,4.671019161,3.647732172,3.263994,1,1,3014,1,3,13.30595,21.81842,3.647732172
52,169201,1073008,0.157688479,4.911065058,1.848469096,6.585143,3,1,14859,1,3,3.416838,24.11856,1.848469096
54,159792,811190,0.196984677,2.582710011,1.968958354,3.756011,2,1,3747,1,3,3.876797,6.670391,1.968958354
13,152513,857843,0.177786611,0.810667194,1.255787402,4.435671,2,1,14186,1,3,1.577002,0.6571813,1.255787402
32,149033,828918,0.179792211,6.006601368,2.576150229,4.641468,3,1,9697,0,3,6.63655,36.07926,2.576150229
55,147672,925744,0.159517102,2.582710011,4.285498804,6.389294,3,1,10532,1,4,18.3655,6.670391,4.285498804
41,147327,744211,0.197964018,3.862385273,3.4534157,4.3646,3,1,9701,1,2,11.92608,14.91802,3.4534157
66,146058,879581,0.166054064,10.73330797,1.968958354,6.56979,3,1,1046,1,2,3.876797,115.2039,1.968958354
57,122180,699306,0.174716076,4.934427018,1.719557792,2.973376,2,1,3642,1,3,2.956879,24.34857,1.719557792
